OUT1 START	3207	0	0	0	0
OUT1 LP	3207	0	-4.447483	15.215086	11.852868
OUT1 IP	3207	0	-4.447483	15.215086	11.852868
OUT1 IP	3207	1	-0.364010	1.831867	1.261355
OUT1 IP	3207	2	0.118428	-0.090152	-0.063885
OUT1 IP	3207	3	-1.523754	-0.173130	-1.049649
OUT1 IP	3207	4	0.178296	-0.574383	-0.107517
OUT1 IP	3207	5	4.243204	-1.634133	0.260000
OUT1 IP	3207	6	0.028009	-0.595119	-0.306848
OUT1 IP	3207	7	0.367651	-0.166986	-0.240715
OUT1 IP	3207	8	0.255901	-0.205710	-0.003793
OUT1 IP	3207	9	-0.000165	-0.841116	-0.196565
OUT1 IP	3207	10	-0.559073	-1.176852	-0.142149
OUT1 IP	3207	11	-1.340105	-4.746169	-0.258598
OUT1 IP	3207	12	-0.481319	-1.032418	-0.322917
OUT1 IP	3207	13	-0.826742	-1.069168	-0.489867
OUT1 IP	3207	14	-0.238061	-0.800195	-0.225658
OUT1 IP	3207	15	-0.165408	-0.923419	-0.063668
OUT1 IP	3207	16	-0.180895	-0.056519	0.101626
OUT1 IP	3207	17	-2.174873	7.130357	4.878711
OUT1 IP	3207	18	-0.926182	2.316913	1.641641
OUT1 IP	3207	19	0.246230	-0.374172	-0.017598
OUT1 IP	3207	20	-2.210686	-0.216986	-1.934078
OUT1 IP	3207	21	-0.028259	-0.344706	-0.214157
OUT1 IP	3207	22	1.252935	-0.294657	0.328668
OUT1 IP	3207	23	2.162418	0.324884	0.334653
OUT1 IP	3207	24	1.327591	-0.099612	-0.026484
OUT1 IP	3207	25	1.000407	-0.542323	0.071886
OUT1 IP	3207	26	-0.238902	-0.895721	-0.124369
OUT1 IP	3207	27	0.431831	0.060246	0.108481
OUT1 IP	3207	28	0.090447	0.331098	0.049802
OUT1 IP	3207	29	-0.018049	-0.046065	-0.029835
OUT1 IP	3207	30	0.190629	-0.006652	0.108125
OUT1 IP	3207	31	-0.948722	-2.697153	0.042586
OUT1 IP	3207	32	-1.214325	-3.259259	-0.445267
OUT1 IP	3207	33	4.125698	0.306402	0.053313
OUT1 IP	3207	34	0.679180	0.100327	0.114057
OUT1 JetStat	3207	3	3	0	0
OUT1 JET	3207	0	-7.912547	26.494222	19.634577
OUT1 con	3207	0	18	0	0
OUT1 con	3207	0	1	0	0
OUT1 con	3207	0	0	0	0
OUT1 con	3207	0	17	0	0
OUT1 JET	3207	1	-6.013071	-18.381294	-2.747477
OUT1 con	3207	1	6	0	0
OUT1 con	3207	1	21	0	0
OUT1 con	3207	1	13	0	0
OUT1 con	3207	1	9	0	0
OUT1 con	3207	1	12	0	0
OUT1 con	3207	1	14	0	0
OUT1 con	3207	1	10	0	0
OUT1 con	3207	1	32	0	0
OUT1 con	3207	1	31	0	0
OUT1 con	3207	1	15	0	0
OUT1 con	3207	1	11	0	0
OUT1 con	3207	1	26	0	0
OUT1 JET	3207	2	15.669794	-1.991229	1.348907
OUT1 con	3207	2	8	0	0
OUT1 con	3207	2	30	0	0
OUT1 con	3207	2	5	0	0
OUT1 con	3207	2	25	0	0
OUT1 con	3207	2	22	0	0
OUT1 con	3207	2	27	0	0
OUT1 con	3207	2	23	0	0
OUT1 con	3207	2	34	0	0
OUT1 con	3207	2	24	0	0
OUT1 con	3207	2	33	0	0
OUT1 END	3207	0	0	0	0
